"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1133,0.1162,0.1436,0.0581,0.1855
"5am",0.1252,0.1181,0.149,0.061,0.1911
"6am",0.1362,0.1368,0.155,0.0662,0.1944
"7am",0.1475,0.392,0.1644,0.1078,0.2067
"8am",0.1512,0.446,0.1741,0.1283,0.205
"9am",0.1599,0.4633,0.1628,0.1278,0.2128
"10am",0.1658,0.4557,0.1597,0.1271,0.2105
"11am",0.1496,0.4523,0.1669,0.1305,0.2138
"12am",0.1577,0.3854,0.1615,0.1195,0.2138
"1pm",0.1592,0.4248,0.1661,0.129,0.2092
"2pm",0.1399,0.4165,0.1461,0.1239,0.2029
"3pm",0.1497,0.373,0.1475,0.1225,0.1864
"4pm",0.1255,0.305,0.151,0.1169,0.1895
"5pm",0.1148,0.1584,0.1528,0.0926,0.1851
"6pm",0.113,0.1437,0.1481,0.0783,0.1949
"7pm",0.1106,0.1375,0.1488,0.0655,0.1902
"8pm",0.1158,0.133,0.1486,0.058,0.1934
"9pm",0.1164,0.1347,0.1599,0.0563,0.1869
"10pm",0.1105,0.1302,0.1555,0.0557,0.1825
"11pm",0.1104,0.1266,0.1515,0.057,0.1841
"12pm",0.1107,0.1251,0.1522,0.0559,0.1826
"1am",0.1109,0.124,0.1519,0.0551,0.1819
"2am",0.1117,0.1231,0.1514,0.0552,0.1818
"3am",0.1106,0.1231,0.151,0.0556,0.1799
