"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.259748219226554,0.111972072716882,0.200480680366314,0.480483533147342
"5am",0.26711764798476,0.101330120476608,0.184901533948364,0.478859962636219
"6am",0.2850960685082,0.0733538343216395,0.174194084039965,0.476873886767616
"7am",0.316769632091584,0.0601780031344711,0.211574666596573,0.46744125542223
"8am",0.29334252513878,0.110967400027321,0.231152867990326,0.328305064858602
"9am",0.276634184312769,0.116964462300343,0.21276562465183,0.288518677719073
"10am",0.288473350585695,0.130954229003547,0.263903609961383,0.31042808433212
"11am",0.283572307914989,0.0957555631380537,0.214791098371056,0.381350253764908
"12am",0.295230262761722,0.0407069630944474,0.141898440415944,0.307445984789597
"1pm",0.296148073139432,0.0803526072449316,0.194762711957381,0.333550707969811
"2pm",0.268583206803673,0.113458338508614,0.220737464910086,0.365304105884973
"3pm",0.255358090121674,0.121292373099398,0.271120906357282,0.402971459098098
"4pm",0.303060598344237,0.0684495477557517,0.266787015730137,0.425503313723982
"5pm",0.298196448947653,0.0762704302450627,0.195927980380215,0.40895236553571
"6pm",0.312893890381966,0.119027901080546,0.242996424041596,0.456885979893416
"7pm",0.294996632236106,0.119822471184139,0.213155518196847,0.467433737233132
"8pm",0.290614312308951,0.1386471908577,0.291588061876508,0.484141771274923
"9pm",0.273247975318611,0.149790166582159,0.300716442254459,0.483543507858389
"10pm",0.263873328139152,0.132335853220653,0.248895527971831,0.496484765931433
"11pm",0.260632760172302,0.133200742003032,0.236755902911042,0.513770597704017
"12pm",0.262868467831257,0.129605991812337,0.234185671290877,0.512498549931768
"1am",0.26728256431522,0.127676340281293,0.23549547560926,0.510227478459299
"2am",0.267168089324088,0.127910819193987,0.236461047698927,0.509616854273129
"3am",0.268115741953946,0.130119928000106,0.237452317290256,0.508738258030977
