"hour","age1","age2","age3","age4"
"4am",0.0854,0.0924,0.0869,0.0751
"5am",0.0855,0.1069,0.0853,0.0722
"6am",0.1042,0.1198,0.0872,0.0739
"7am",0.2516,0.1363,0.1278,0.0935
"8am",0.2746,0.1249,0.1169,0.1078
"9am",0.2936,0.1197,0.1273,0.1144
"10am",0.3,0.1186,0.1309,0.1119
"11am",0.2895,0.1251,0.1297,0.1111
"12am",0.2529,0.1358,0.1287,0.1044
"1pm",0.2803,0.1175,0.1234,0.1161
"2pm",0.2747,0.105,0.1233,0.1071
"3pm",0.2453,0.1041,0.1111,0.107
"4pm",0.2032,0.1147,0.097,0.1027
"5pm",0.1153,0.0872,0.0748,0.0857
"6pm",0.1017,0.0933,0.0908,0.0799
"7pm",0.094,0.1108,0.0957,0.0781
"8pm",0.0933,0.0968,0.0935,0.0753
"9pm",0.085,0.0985,0.0889,0.0727
"10pm",0.0884,0.0978,0.0895,0.0763
"11pm",0.0855,0.0994,0.0919,0.077
"12pm",0.0852,0.0991,0.091,0.0763
"1am",0.0843,0.0978,0.0904,0.0757
"2am",0.084,0.095,0.0889,0.0765
"3am",0.0845,0.0944,0.0885,0.0762
