"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2103,0.1459,0.1134,0.1959,0.3135
"5am",0.2143,0.1479,0.1118,0.1976,0.3198
"6am",0.2149,0.1491,0.1152,0.192,0.3254
"7am",0.2225,0.1564,0.1188,0.2039,0.3187
"8am",0.2298,0.1593,0.1254,0.1983,0.2828
"9am",0.2205,0.1569,0.1265,0.1852,0.2768
"10am",0.2318,0.1584,0.1276,0.193,0.2596
"11am",0.2279,0.1587,0.1267,0.1966,0.2537
"12am",0.2376,0.1573,0.128,0.1942,0.2276
"1pm",0.2222,0.1654,0.133,0.1913,0.231
"2pm",0.2126,0.1731,0.1316,0.1813,0.2526
"3pm",0.188,0.1581,0.1242,0.1801,0.2467
"4pm",0.2037,0.1523,0.1122,0.1776,0.2937
"5pm",0.2128,0.1551,0.122,0.1891,0.261
"6pm",0.2175,0.1608,0.1165,0.1888,0.3008
"7pm",0.2153,0.1541,0.1121,0.1875,0.3262
"8pm",0.2126,0.1488,0.1058,0.195,0.3211
"9pm",0.2137,0.1512,0.1101,0.1893,0.3157
"10pm",0.2068,0.1522,0.1133,0.1895,0.3109
"11pm",0.2056,0.1536,0.1122,0.193,0.3119
"12pm",0.2069,0.1534,0.1125,0.1943,0.3087
"1am",0.2068,0.1527,0.1112,0.1951,0.3087
"2am",0.2067,0.1538,0.1133,0.195,0.3086
"3am",0.2062,0.1533,0.1144,0.1952,0.3093
