"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2176,0.1615,0.1234,0.2788
"5am",0.2228,0.1599,0.128,0.2834
"6am",0.2262,0.1543,0.1337,0.2753
"7am",0.219,0.132,0.1374,0.268
"8am",0.2128,0.1273,0.1389,0.2397
"9am",0.215,0.1256,0.1382,0.2389
"10am",0.2205,0.1331,0.1415,0.2432
"11am",0.217,0.1394,0.1499,0.245
"12am",0.2169,0.1414,0.1355,0.232
"1pm",0.2127,0.131,0.1241,0.2458
"2pm",0.2186,0.127,0.1192,0.2397
"3pm",0.2144,0.1169,0.1327,0.2378
"4pm",0.2053,0.1206,0.1156,0.2279
"5pm",0.227,0.1334,0.1296,0.2408
"6pm",0.2155,0.148,0.1136,0.2897
"7pm",0.2094,0.1527,0.1254,0.2761
"8pm",0.2102,0.1561,0.127,0.2663
"9pm",0.211,0.1622,0.122,0.2734
"10pm",0.2098,0.1576,0.1228,0.2763
"11pm",0.2104,0.157,0.1201,0.2865
"12pm",0.2091,0.1579,0.1211,0.2849
"1am",0.2092,0.1569,0.1211,0.2819
"2am",0.2091,0.1585,0.123,0.2824
"3am",0.2087,0.1593,0.1233,0.2831
