"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2381,0.176,0.1487,0.3035,0.4071
"5am",0.235,0.1759,0.1428,0.3029,0.4115
"6am",0.2299,0.1745,0.1388,0.3002,0.4128
"7am",0.2458,0.1578,0.1322,0.2852,0.403
"8am",0.239,0.1492,0.1325,0.261,0.3691
"9am",0.2309,0.1417,0.1283,0.2542,0.3593
"10am",0.2297,0.1528,0.1373,0.2578,0.3847
"11am",0.223,0.1488,0.1295,0.2617,0.3606
"12am",0.2315,0.1601,0.1348,0.268,0.3362
"1pm",0.2187,0.155,0.1374,0.2722,0.3135
"2pm",0.2163,0.1579,0.1487,0.2546,0.3593
"3pm",0.2072,0.1561,0.1426,0.2643,0.3655
"4pm",0.2176,0.1675,0.141,0.2572,0.384
"5pm",0.233,0.1598,0.1487,0.2822,0.3468
"6pm",0.2495,0.1639,0.1366,0.2915,0.4097
"7pm",0.2406,0.1673,0.1403,0.301,0.4117
"8pm",0.247,0.1718,0.1392,0.3075,0.4099
"9pm",0.2452,0.1734,0.1437,0.3016,0.4095
"10pm",0.2434,0.1763,0.149,0.3032,0.4082
"11pm",0.2432,0.1778,0.149,0.3045,0.4085
"12pm",0.243,0.1792,0.1502,0.3046,0.4037
"1am",0.2426,0.1797,0.15,0.3058,0.4041
"2am",0.2425,0.1796,0.1517,0.3056,0.4041
"3am",0.242,0.1787,0.1517,0.3058,0.4044
