"hour","act1","act2","act3","act4","act5"
"4am",0.4256,0.4617,0.9718,0.9269,0.7799
"5am",0.4492,0.4596,0.9044,0.9261,0.7793
"6am",0.3607,0.3641,0.8387,0.8911,0.7391
"7am",0.3039,0.2571,0.6987,0.8267,0.4578
"8am",0.2897,0.2562,0.6154,0.4434,0.297
"9am",0.3085,0.2625,0.5984,0.4286,0.22
"10am",0.2989,0.2647,0.5943,0.4536,0.2087
"11am",0.2997,0.2589,0.5983,0.4225,0.1937
"12am",0.3159,0.2872,0.6138,0.6696,0.2489
"1pm",0.2979,0.2658,0.5938,0.5898,0.218
"2pm",0.2953,0.2423,0.5904,0.4958,0.1603
"3pm",0.3023,0.2382,0.5796,0.5073,0.1381
"4pm",0.2929,0.2791,0.6045,0.5237,0.1238
"5pm",0.2677,0.3229,0.7344,0.5724,0.1876
"6pm",0.2301,0.3749,0.8444,0.626,0.1662
"7pm",0.2209,0.3797,0.9871,0.7952,0.1913
"8pm",0.2344,0.4453,0.9873,0.8729,0.2542
"9pm",0.2918,0.5295,0.9871,0.9537,0.34
"10pm",0.376,0.5771,0.9484,0.4371,0
"11pm",0.4216,0.663,0.9222,0.5004,0
"12pm",0.4187,0.6638,0.9227,0.5097,0
"1am",0.4351,0.6637,0.9228,0.5485,0
"2am",0.4526,0.6613,0.9225,0.5892,0
"3am",0.4636,0.6784,0.9225,0.586,0
