"hour","sex1","sex2"
"4am",0.0723,0.0723
"5am",0.0741,0.0741
"6am",0.0833,0.0833
"7am",0.1008,0.1008
"8am",0.1039,0.1039
"9am",0.105,0.105
"10am",0.1075,0.1075
"11am",0.1072,0.1072
"12am",0.1077,0.1077
"1pm",0.0985,0.0985
"2pm",0.088,0.088
"3pm",0.0871,0.0871
"4pm",0.0777,0.0777
"5pm",0.0757,0.0757
"6pm",0.0584,0.0584
"7pm",0.0671,0.0671
"8pm",0.0658,0.0658
"9pm",0.073,0.073
"10pm",0.0717,0.0717
"11pm",0.0704,0.0704
"12pm",0.0701,0.0701
"1am",0.0696,0.0696
"2am",0.0686,0.0686
"3am",0.0696,0.0696
