"hour","sex1","sex2"
"4am",0.0608465520610373,0.0608465520610375
"5am",0.0474575871434973,0.047457587143497
"6am",0.0406674102114021,0.0406674102114018
"7am",0.0740386251041289,0.0740386251041289
"8am",0.0234342461599866,0.0234342461599868
"9am",0.0630834312225143,0.0630834312225144
"10am",0.0618028376623351,0.0618028376623352
"11am",0.0293111703775522,0.0293111703775522
"12am",-0.0256088268286449,-0.0256088268286448
"1pm",-0.00468570992755213,-0.00468570992755211
"2pm",-0.0346336442586632,-0.0346336442586633
"3pm",0.00538819500265379,0.00538819500265402
"4pm",0.0143450362430059,0.0143450362430055
"5pm",0.0596488740026962,0.0596488740026962
"6pm",0.0907910330958936,0.0907910330958938
"7pm",0.0991402381698546,0.0991402381698545
"8pm",0.0560832116701791,0.0560832116701792
"9pm",0.0353548383182525,0.0353548383182528
"10pm",0.012827925632567,0.0128279256325668
"11pm",0.0439317712589517,0.0439317712589514
"12pm",0.0464922316336287,0.0464922316336286
"1am",0.0508862891531923,0.0508862891531923
"2am",0.0540578992601281,0.054057899260128
"3am",0.0450992629536918,0.0450992629536918
