"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2348,0.1957,0.1881,0.3554
"5am",0.2345,0.1956,0.1896,0.3604
"6am",0.2307,0.1865,0.1888,0.3432
"7am",0.2297,0.173,0.1935,0.3358
"8am",0.2242,0.1519,0.1925,0.2931
"9am",0.2329,0.1488,0.1727,0.295
"10am",0.2328,0.1433,0.1747,0.3019
"11am",0.2231,0.1499,0.1858,0.3037
"12am",0.2274,0.1592,0.1928,0.291
"1pm",0.2206,0.1505,0.182,0.3026
"2pm",0.2256,0.1522,0.1814,0.321
"3pm",0.227,0.1448,0.1762,0.3154
"4pm",0.218,0.1528,0.1691,0.3049
"5pm",0.2395,0.1658,0.1944,0.3007
"6pm",0.2357,0.1777,0.1875,0.3076
"7pm",0.2306,0.1837,0.1944,0.3296
"8pm",0.2289,0.1927,0.1963,0.3413
"9pm",0.2355,0.2001,0.1998,0.3528
"10pm",0.2349,0.1923,0.192,0.3536
"11pm",0.2367,0.1901,0.1861,0.3668
"12pm",0.2344,0.1921,0.1878,0.365
"1am",0.2343,0.1926,0.1863,0.3624
"2am",0.2343,0.1936,0.1888,0.362
"3am",0.2339,0.1942,0.189,0.3624
