"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066";"067";"068";"069";"070";"071";"072";"073";"074";"075";"076";"077";"078";"079";"080";"081";"082";"083";"084";"085";"086";"087";"088";"089";"090";"091";"092";"093";"094";"095";"096";"097";"098";"099";"100";"101";"102";"103";"104"
"12am";"1158.691";"2487.901";" 865.071";"   0.000";" 602.187";"1391.940";"2266.391";"   0.000";" 882.227";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1483.434";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1047.993";"   0.000";"1145.724";"   0.000";"   0.000";"1058.462";"   0.000";"   0.000";" 649.676";"1635.257";"   0.000";"   0.000";"0";"2019.698";"   0.000";"   0.000";"1119.427";" 856.359";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1343.375";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1143.134";"   0.000";"   0.000";"2048.062";"   0.000";"   0.000";"1051.706";"1085.670";"   0.000";"   0.000";"   0.000";"1152.276";"   0.000";"1292.302";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"6971.405";"1832.221";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 628.622";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 845.992";"   0.000";"   0.000";"1132.380";"   0.000";"   0.000";"   0.000";"   0.000"
"1pm";" 885.272";"3190.415";"1033.196";"   0.000";" 762.068";"1270.500";"2559.987";"   0.000";" 872.857";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1536.494";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 723.514";"1267.284";"   0.000";"1509.629";"   0.000";"   0.000";"1154.430";"   0.000";"   0.000";" 692.001";"1563.011";"   0.000";"   0.000";"   0.000";"1993.548";"   0.000";"   0.000";"1016.443";" 913.002";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1433.018";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1163.119";"   0.000";"   0.000";"2063.828";"   0.000";"   0.000";"   0.000";"1030.518";"   0.000";"   0.000";"   0.000";"1418.347";"   0.000";"1592.188";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"7372.315";"1720.565";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 885.903";" 671.744";"   0.000";"   0.000";"   0.000";" 976.491";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1065.203";"   0.000";"   0.000";"   0.000";"   0.000"
"2pm";" 997.526";"3210.130";"1029.829";" 827.535";" 802.985";"1151.402";"2841.375";"   0.000";" 915.160";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1828.586";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 933.994";"1094.922";"   0.000";"1807.547";"   0.000";"   0.000";"1146.451";"   0.000";"   0.000";" 706.860";"1563.011";"   0.000";"   0.000";"   0.000";"2431.240";"   0.000";"   0.000";" 915.435";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1715.319";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 967.918";"   0.000";"   0.000";"1771.482";"   0.000";"   0.000";" 850.325";"1150.549";"   0.000";"   0.000";"   0.000";"1403.786";"   0.000";"1717.773";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"7158.131";"1586.176";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";" 885.903";" 887.742";"   0.000";"   0.000";"   0.000";"1078.183";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1419.708";"   0.000";"   0.000";"   0.000";"   0.000"
"3pm";"1360.008";"2883.884";"1002.699";" 832.570";" 847.187";" 938.960";"2842.119";" 789.355";" 895.687";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1822.365";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 852.520";" 934.394";"   0.000";"2040.149";"   0.000";"   0.000";"1109.887";"   0.000";"   0.000";"   0.000";"1507.704";"   0.000";"   0.000";"   0.000";"2454.868";"   0.000";"   0.000";"1367.850";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1607.221";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 886.437";"   0.000";"   0.000";"1715.082";"   0.000";"   0.000";" 878.018";"1387.870";"   0.000";"   0.000";"   0.000";"1253.244";"   0.000";"1732.252";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"7334.706";"1419.565";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 534.452";"   0.000";"1007.056";" 718.055";" 997.079";"   0.000";"   0.000";"1021.495";"   0.000";"   0.000";"   0.000";" 926.254";"   0.000";"   0.000";"   0.000";"1337.102";"   0.000";"   0.000";"   0.000";"   0.000"
"4pm";" 858.923";"2528.388";" 953.429";"   0.000";"1271.238";" 863.706";"2218.644";" 770.154";" 658.898";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1155.174";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1042.482";"   0.000";"1367.831";"   0.000";"   0.000";" 842.366";"   0.000";"   0.000";"   0.000";"1413.554";"   0.000";"   0.000";"   0.000";"1836.397";"   0.000";"   0.000";" 865.109";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1679.348";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 838.620";"   0.000";"   0.000";"1706.083";"   0.000";"   0.000";"1081.186";"1295.191";"   0.000";"   0.000";"   0.000";"1540.583";"   0.000";"1426.310";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"6549.277";"1126.506";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1201.211";"   0.000";"   0.000";"   0.000";"   0.000"
"5pm";"   0.000";"1861.784";" 654.778";"   0.000";"   0.000";" 667.119";"1274.955";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 711.897";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 930.118";"   0.000";"1199.769";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 840.249";"   0.000";"   0.000";"   0.000";"1060.901";"   0.000";"   0.000";" 750.315";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1517.900";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1400.158";"   0.000";"   0.000";" 944.525";" 786.277";"   0.000";"   0.000";"   0.000";" 757.770";"   0.000";"1036.508";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"5144.935";" 918.538";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"6pm";"   0.000";"1345.705";"   0.000";"   0.000";"   0.000";" 975.961";" 689.463";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 778.678";"   0.000";"   0.000";"   0.000";" 895.398";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 793.732";"   0.000";" 777.937";"0";"0";"   0.000";"0";"   0.000";"   0.000";"   0.000";"2525.354";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"   0.000";"1247.269";"   0.000";"   0.000";"   0.000";" 955.090";" 729.222";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 613.592";"0";"0";"   0.000";"0";"0";"   0.000";"   0.000";" 918.815";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"8pm";" 783.082";" 940.966";"   0.000";"   0.000";"   0.000";"1016.654";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";" 619.039";"0";"0";"   0.000";"0";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000"
"9pm";"  0.000";"783.877";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"0";"0";"  0.000";"0";"0";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"0";"  0.000";"  0.000"
