"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807";"4455.807"
"4am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"5am";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0"
"6am";"638.284";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"  0.000";"575.502";"  0.000";"  0.000";"  0.000";"0"
"7am";"2327.249";"1093.576";"1376.734";"1029.392";" 800.072";"1240.333";"   0.000";" 842.204";"1031.033";" 860.097";"   0.000";" 706.575";"1043.081";"1555.389";"   0.000";"   0.000";" 586.347";"   0.000"
"8am";"4326.932";"1936.794";"3015.772";"1908.269";"1101.290";"2194.735";" 575.156";"1191.532";"2081.575";"1346.506";" 523.162";"1756.496";"1579.170";"2715.528";"   0.000";" 698.775";" 841.971";"   0.000"
"9am";"4445.715";"2082.984";"3261.161";"1971.531";"1105.141";"2277.567";" 575.156";"1215.930";"2070.432";"1437.583";" 615.679";"2100.398";"1610.851";"2846.464";"   0.000";" 765.659";" 942.678";"   0.000"
"10am";"4455.807";"2082.984";"3111.548";"1953.589";"1128.774";"2305.516";" 575.156";"1189.489";"2070.777";"1423.217";" 691.935";"2148.577";"1650.375";"2894.236";"   0.000";" 765.659";"1063.402";"   0.000"
"11am";"4128.499";"1929.988";"3226.796";"1965.139";"1048.966";"2333.384";" 555.896";"1031.212";"2051.467";"1505.629";" 681.663";"2223.543";"1773.070";"2924.127";"   0.000";" 765.659";" 975.182";"   0.000"
"12am";"2403.857";"1647.237";"1690.245";"1323.790";" 800.160";"1612.022";"   0.000";" 821.931";"1166.830";" 827.380";"   0.000";"1390.494";"1231.770";"2037.149";"   0.000";" 474.197";" 701.824";"   0.000"
"1pm";"3513.469";"2157.726";"2815.448";"1886.135";" 778.683";"2201.343";" 596.346";"1005.143";"1869.270";"1407.122";" 583.887";"1844.082";"1585.121";"2409.244";"   0.000";" 702.438";" 914.221";"   0.000"
"2pm";"3618.511";"2157.726";"3076.012";"1786.271";" 803.069";"2217.706";" 596.346";" 977.662";"1865.757";"1376.196";" 546.087";"1824.580";"1671.676";"2622.732";"   0.000";" 655.810";" 855.946";"   0.000"
"3pm";"3578.865";"2153.186";"2919.105";"1897.500";" 781.549";"2107.186";" 596.346";" 911.760";"1971.900";"1209.538";" 549.187";"1634.629";"1569.139";"2266.050";"   0.000";" 567.438";" 907.371";"   0.000"
"4pm";"3349.079";"1637.246";"2394.433";"1612.545";" 548.396";"1586.550";" 519.424";" 716.921";"1666.422";" 994.358";"   0.000";"1402.554";"1275.460";"1913.074";"   0.000";"   0.000";" 815.567";"   0.000"
"5pm";"2065.820";" 536.040";"1217.353";" 878.711";"   0.000";" 885.792";"   0.000";" 376.728";" 703.275";" 663.993";"   0.000";"1014.597";" 992.085";"1177.850";"   0.000";"   0.000";" 417.861";"   0.000"
"6pm";"1032.386";"   0.000";" 577.454";" 489.810";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 466.018";"   0.000";" 536.514";"   0.000";"   0.000";"   0.000";"   0.000"
"7pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"10pm";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"11pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0"
"12pm";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0"
"1am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"2am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
"3am";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0"
